id,name,host_id,host_name,neighbourhood_group,neighbourhood,city,latitude,longitude,room_type,price,number_of_reviews,calculated_host_listings_count
430526,Sydney beach side family retreat,2140264,Craig,"",Randwick,Sydney,"-33,9117000","151,2615279",Entire home/apt,"$750,00",5,1
432136,Bondi Beach 2 Bed with Ocean Views!,2149047,Nicola,"",Waverley,Sydney,"-33,8947000","151,2699497",Entire home/apt,"$251,00",20,1
435912,Light and Airy Paddington Perfection,226262,Dani,"",Woollahra,Sydney,"-33,8828000","151,2234184",Entire home/apt,"$140,00",125,2
440213,Prime harbourside attic suite,1864730,Maggie,"",Woollahra,Sydney,"-33,8735000","151,2345804",Entire home/apt,"$195,00",0,1
444977,"Cherrybrook, Sydney",2210950,Robert,"",Hornsby,Sydney,"-33,7225000","151,0511923",Private room,"$177,00",32,2
446497,Lovely Family Home Close to Manly!,2200681,Sarah,"",Manly,Sydney,"-33,7967000","151,2704499",Entire home/apt,"$395,00",9,1
446570,Sydney City Edge: 8 mins walk to Hyde Park,2157195,Leonie,"",Sydney,Sydney,"-33,8812000","151,2116084",Private room,"$138,00",202,3
448210,Darlinghurst Home close to it all!,2226210,Tops,"",Sydney,Sydney,"-33,8767000","151,2204055",Entire home/apt,"$300,00",0,1
449750,SURRY HILLS: Live Like a Local,2157195,Leonie,"",Sydney,Sydney,"-33,8820000","151,2101731",Private room,"$140,00",247,3
450017,Northern Beaches slice of paradise,2235120,Michael,"",Pittwater,Sydney,"-33,6939000","151,2907163",Entire home/apt,"$260,00",2,2
458203,Jacques Ave 3 bedroom apt. 1 minute to beach!,113874,Bondi Beach Holiday Homes,"",Waverley,Sydney,"-33,8905000","151,2714863",Entire home/apt,"$289,00",67,53
460109,Cosy Flat by the Sea!,2260791,Ursula,"",Randwick,Sydney,"-33,9156000","151,2648864",Entire home/apt,"$84,00",15,1
460159,Mini manor near the heart of Sydney,2288294,Michelle,"",Sydney,Sydney,"-33,8927000","151,2014461",Entire home/apt,"$89,00",7,1
461984,Business Bliss & Travellers Delight,2296153,Jane,"",Sydney,Sydney,"-33,9148000","151,2064079",Private room,"$96,00",11,2
463282,HIGHLY ENERGISED BEACH RETREAT,2281364,Paul,"",Randwick,Sydney,"-33,9215000","151,2539180",Entire home/apt,"$400,00",0,1
465977,Surry Hills Oasis in the Inner City,77867,Lindy,"",Sydney,Sydney,"-33,8862000","151,2116323",Entire home/apt,"$289,00",43,1
466383,Huge Modern Beach House with Pool!,2315641,John,"",Warringah,Sydney,"-33,7635000","151,2973901",Entire home/apt,"$955,00",2,1
470500,"Modern apt. in Camperdown, Sydney",2325533,Stafford & Monique,"",Sydney,Sydney,"-33,8900000","151,1794868",Entire home/apt,"$118,00",5,2
