id;name;host_id;host_name;neighbourhood_group;neighbourhood;city;room_type;price;usd;minimum_nights;number_of_reviews;calculated_host_listings_count;availability_365;tipo disponibilidad;tipo host
6556383;Monolocale zona Isola Milano;34173161;Donatella;-;ISOLA;Milán;Entire home/apt;53;61,48;2;211;1;252;Disponibilidad alta;particular
6558418;;32943765;Stefano;-;VILLAPIZZONE;Milán;Entire home/apt;58;67,28;3;0;1;0;Disponibilidad baja;particular
6559021;Monolocale Milano centro;34303758;Beatrice;-;TICINESE;Milán;Entire home/apt;150;174;3;0;1;363;Disponibilidad alta;particular
6559122;two-levels little loft;34304340;Sergio;-;XXII MARZO;Milán;Entire home/apt;66;76,56;2;18;1;364;Disponibilidad alta;particular
6562435;private and comfy room in NoLo;16741619;Francesco;-;LORETO;Milán;Private room;49;56,84;1;85;2;90;Disponibilidad baja;particular
6564247;Broletto Apartment;5047682;Brera Apartments;-;BRERA;Milán;Entire home/apt;176;204,16;1;41;30;102;Disponibilidad media;profesional
6564611;Amazing in downtown!;34339837;Susanna;-;VIGENTINA;Milán;Entire home/apt;91;105,56;2;383;1;285;Disponibilidad alta;particular
6565149;MChouse;11938316;Marco;-;TICINESE;Milán;Entire home/apt;85;98,6;1;3;1;363;Disponibilidad alta;particular
6567170;Appartamento attaccato a Navigli;26360327;Giovanni;-;NAVIGLI;Milán;Private room;60;69,6;2;0;1;0;Disponibilidad baja;particular
6567849;A SINGLE ROOM FOR A GIRL VIALE MONZA;22658694;Alessandra;-;PADOVA;Milán;Private room;20;23,2;20;6;5;365;Disponibilidad alta;profesional
6567965;The Holden House;17589860;Frediano;-;GIAMBELLINO;Milán;Entire home/apt;70;81,2;5;10;1;47;Disponibilidad baja;particular
